Base_Position	Entropy	Entropy_Smoothed
0	0,000713103042937	
1	0,000713103042937	
2	0,000713103042937	
3	0,000713103042937	
4	0,000713103042937	
5	0,000713103042937	
6	0,000713103042937	
7	0,000713103042937	
8	0,000713103042937	
9	0,000713103042937	
10	0,000713103042937	
11	0,000713103042937	
12	0,000713103042937	
13	0,000713103042937	
14	0,000713103042937	
15	0,000713103042937	
16	0,000713103042937	
17	0,000713103042937	
18	0,000713103042937	
19	0,000713103042937	
20	0,000713103042937	
21	0,000713103042937	
22	0,000713103042937	
23	0,000713103042937	
24	0,000713103042937	
25	0,000713103042937	
26	0,006798218763726	
27	0,117581970962874	
28	0,188148271707397	
29	0,165276296280005	
30	0,019328840813327	
31	0,006846806365165	
32	0,009722403720385	
33	0,008324851799615	
34	0,005642999101674	
35	0,012061590730079	0,0320270590705
36	0,007698046044063	0,0350800224696
37	0,067388698518407	0,0383043869434
38	0,010128728143248	0,040415946026
39	0,011381773593904	0,0418765086296
40	0,034428450765387	0,044646363067
41	0,033385452160085	0,0480376879058
42	0,056602998106098	0,0510749877958
43	0,130364054976225	0,0539784578636
44	0,150467974147521	0,0565911523896
45	0,007104756616851	0,0593622418153
46	0,022347536940776	0,0623823742662
47	0,133461079620571	0,0654471554066
48	0,010323627071203	0,0685708003117
49	0,075919924214615	0,0713597833501
50	0,005486400217242	0,0744279041571
51	0,106646827590531	0,0773358975142
52	0,019494600517487	0,0804835376924
53	0,003894115563685	0,0836160537789
54	0,006290676087179	0,0864671309456
55	0,005163247876493	0,0886713154716
56	0,004450395603529	0,0911047760904
57	0,003294876519417	0,0935498698704
58	0,010526379390979	0,0960487327683
59	0,004822183756439	0,0980729541318
60	0,005486400217242	0,100563863273
61	0,00975816946386	0,103258735465
62	0,016543859090681	0,106088042622
63	0,021304583627164	0,107874317297
64	0,052150344656543	0,108513235081
65	0,131338876551186	0,10936088255
66	0,057921411111188	0,109198670677
67	0,011920456753941	0,110024012449
68	0,196791020726149	0,111707979551
69	0,259333279332814	0,111815346424
70	0,214420540981382	0,111844670259
71	0,226418616210255	0,111792993486
72	0,148522238822341	0,111942111275
73	0,102952485295393	0,113868037481
74	0,19460291366464	0,113771024042
75	0,238105841758422	0,113786583216
76	0,213324095342751	0,11350280258
77	0,203956007785147	0,113075174341
78	0,183601719867583	0,112438923539
79	0,194689362837918	0,110666446697
80	0,212122374609174	0,108587335567
81	0,215247782867556	0,109054957011
82	0,219368246403017	0,108772591095
83	0,195941915731291	0,107268692458
84	0,215481559533371	0,107184391061
85	0,204272638036188	0,106312597013
86	0,221047915515296	0,108225631486
87	0,21998922910162	0,108599016338
88	0,200288504713629	0,109330368492
89	0,15500601985811	0,112151874851
90	0,171055346364353	0,112522221335
91	0,171869667638428	0,114441378419
92	0,175633505894108	0,116109198446
93	0,142408598490888	0,118879340352
94	0,175076742914666	0,119618428947
95	0,189354156526416	0,11960517083
96	0,20484971975345	0,121850992664
97	0,242621198189579	0,123372250534
98	0,23287251656564	0,123226826659
99	0,224611619099487	0,124665129768
100	0,007974009725538	0,124574833482
101	0,064620730399508	0,122884362063
102	0,12760010090032	0,12434760843
103	0,01584053287519	0,12803230737
104	0,007695667576409	0,128572937997
105	0,008444216596657	0,128801602383
106	0,018136291263456	0,129184485343
107	0,202203532967712	0,128475158181
108	0,003337787363831	0,129908930485
109	0,012470915772976	0,132039979982
110	0,014563806295433	0,132550738061
111	0,003451475403849	0,129492323735
112	0,012065441948494	0,126519709312
113	0,006290676087179	0,124434450632
114	0,004930195039433	0,121866188039
115	0,03983825767071	0,1201943161
116	0,002581922833147	0,117192932461
117	0,028188175023789	0,115732514149
118	0,00442252925234	0,113502561269
119	0,01489434086827	0,114066508921
120	0,139398813316857	0,114432662487
121	0,132783767256392	0,114760016995
122	0,070689251336322	0,114372859482
123	0,201399560670436	0,113597361348
124	0,032214929982485	0,110876331063
125	0,13950424374561	0,10872513834
126	0,121197797476149	0,106312050649
127	0,197204809968708	0,10398710665
128	0,062262580981754	0,10390028217
129	0,003894115563685	0,104872029713
130	0,162693928597579	0,105472183598
131	0,116246220418767	0,106155374038
132	0,006364187853903	0,106512115993
133	0,121985801235172	0,10514197739
134	0,045829604632134	0,103633494589
135	0,013005877221634	0,100564549505
136	0,16034865679626	0,100498317757
137	0,26984938256109	0,0996018633368
138	0,234635164618281	0,0982013013013
139	0,275339786372646	0,0984333657035
140	0,241222348179374	0,098443074639
141	0,176765714841944	0,0990526994291
142	0,248886300108116	0,100301864904
143	0,252125950046551	0,09992049917
144	0,230355979221558	0,10020723
145	0,024016838927988	0,100099505419
146	0,005241085719742	0,100973113207
147	0,057987900232438	0,104885851058
148	0,003823338368081	0,108538804749
149	0,077658327057844	0,112482663133
150	0,002025519900879	0,116040799478
151	0,11301850100194	0,118687244246
152	0,063271544821657	0,122091023784
153	0,235418251356962	0,125054245865
154	0,24111230914937	0,128128571223
155	0,227187453645728	0,130069072832
156	0,193946889608558	0,129851292903
157	0,165704359684167	0,130860111753
158	0,009816384799681	0,133368039194
159	0,00442252925234	0,133365182392
160	0,002139207940897	0,134316304726
161	0,009123587696597	0,133079765972
162	0,169555792344342	0,13189486777
163	0,210430926454833	0,131990771658
164	0,217087514869753	0,134524100727
165	0,237177487354766	0,137775854774
166	0,229821656578323	0,138487288264
167	0,146711496029751	0,13979103283
168	0,127278720501086	0,142059445515
169	0,009785463155982	0,142825670709
170	0,003337787363831	0,145100986526
171	0,001868921016446	0,148415374734
172	0,029560758415594	0,149310221665
173	0,032085041028569	0,148728884005
174	0,008375293061777	0,148040183196
175	0,051117951904334	0,146043537891
176	0,105577874483762	0,145089654416
177	0,17550793160638	0,145285952664
178	0,023408945497023	0,143670036897
179	0,004930195039433	0,142246267513
180	0,075716351508079	0,141661574912
181	0,277343124975484	0,143638167186
182	0,267772200276406	0,145990350865
183	0,282360763008528	0,148973944294
184	0,253999739164339	0,15106654127
185	0,225089391423757	0,151526336661
186	0,240846490489031	0,154306272806
187	0,235613720725324	0,155319678185
188	0,219625304306054	0,158067678606
189	0,150729453462302	0,157976315275
190	0,124154218287329	0,158302115801
191	0,203401086748982	0,157202614573
192	0,246244172228287	0,154693777163
193	0,201199584534456	0,152624817762
194	0,098793493388717	0,153947376935
195	0,052946530958254	0,155042495739
196	0,038254923294722	0,15731433119
197	0,203918082184183	0,158833530847
198	0,239595615790277	0,157760934088
199	0,231516898879924	0,15679930112
200	0,212494272856517	0,15611882337
201	0,207508340077297	0,15446253603
202	0,165153075755512	0,153847240382
203	0,175621564870433	0,152752531054
204	0,205101711803501	0,152889015108
205	0,245013051787974	0,15489829049
206	0,222987941910026	0,158090461385
207	0,229155746428259	0,160758750031
208	0,186426107952237	0,160377956694
209	0,135574615050819	0,159977466314
210	0,174450504922604	0,161224424416
211	0,190506592169288	0,160520866831
212	0,135772196397803	0,159140845147
213	0,152462093216237	0,158143300812
214	0,189427497128214	0,158033202363
215	0,162378298117895	0,15960645472
216	0,169893943244298	0,158561677167
217	0,266839440269098	0,155033272204
218	0,150305126687214	0,152052863521
219	0,109844004403468	0,148048074334
220	0,196621050087998	0,146124143979
221	0,183956877548883	0,144106305453
222	0,2556315742382	0,141818729467
223	0,229022818205611	0,140435846717
224	0,263918345942727	0,137443517948
225	0,150222367681691	0,135476145557
226	0,018328270928408	0,133829375528
227	0,020877201660994	0,131383945381
228	0,10239552686068	0,128142554183
229	0,081080845524228	0,128311928094
230	0,161167689521943	0,127656750011
231	0,115467563702205	0,12692074499
232	0,094474019218217	0,126508321666
233	0,14311661870826	0,125595671814
234	0,169454072329822	0,123955759283
235	0,121237373561135	0,120831586416
236	0,186750961243509	0,117835075685
237	0,0700818430542	0,114907555439
238	0,136832604295046	0,113404546244
239	0,150434739859222	0,111311652308
